id,name,preferred_common_name,rank,iconic_taxon_name,ancestor_ids,photo_url
47374,Cupressaceae,cypress family,family,Plantae,"48460,47126,211194,136329,47375",https://inaturalist-open-data.s3.amazonaws.com/photos/164349061/medium.jpg
57678,Lasioglossum,,genus,Insecta,"48460,1,47120,372739,47158,184884,47201,124417,326777,47222,630955,49707,134106,335597,1597678",https://inaturalist-open-data.s3.amazonaws.com/photos/115700647/medium.jpeg
76625,Delphinium glaucum,Sierra larkspur,species,Plantae,"48460,47126,211194,47125,47124,48232,48231,746709,738998,48493",https://inaturalist-open-data.s3.amazonaws.com/photos/157538096/medium.jpg
3,Aves,Birds,class,Aves,"48460,1,2,355675",https://inaturalist-open-data.s3.amazonaws.com/photos/2967053/medium.jpg
56985,Stephanomeria virgata,rod wirelettuce,species,Plantae,"48460,47126,211194,47125,47124,47605,47604,447425,359450,632705,56986",https://inaturalist-open-data.s3.amazonaws.com/photos/11679/medium.jpg
933429,Acmispon decumbens,Sierra Lotus,species,Plantae,"48460,47126,211194,47125,47124,47123,47122,507502,533443,64336",https://inaturalist-open-data.s3.amazonaws.com/photos/38077377/medium.png
319976,Erythranthe,monkeyflowers,genus,Plantae,"48460,47126,211194,47125,47124,48151,64552",https://inaturalist-open-data.s3.amazonaws.com/photos/72061328/medium.jpeg
51646,Rubus parviflorus,thimbleberry,species,Plantae,"48460,47126,211194,47125,47124,47132,47148,415343,922171,47544,1449400",https://static.inaturalist.org/photos/508162072/medium.jpg
59893,Prionus,,genus,Insecta,"48460,1,47120,372739,47158,184884,47208,71130,372852,963992,47961,319102,528665",https://static.inaturalist.org/photos/9262996/medium.jpg
55422,Arceuthobium campylopodum,Western Dwarf-Mistletoe,species,Plantae,"48460,47126,211194,47125,47124,49669,59992,577688,50259,1609635",https://inaturalist-open-data.s3.amazonaws.com/photos/331597472/medium.jpeg
56854,Adenocaulon bicolor,American trailplant,species,Plantae,"48460,47126,211194,47125,47124,47605,47604,627051,632768,56855",https://inaturalist-open-data.s3.amazonaws.com/photos/293022898/medium.jpeg
78795,Pyrrocoma apargioides,alpine flames,species,Plantae,"48460,47126,211194,47125,47124,47605,47604,632790,461542,972893,72328",https://inaturalist-open-data.s3.amazonaws.com/photos/21288301/medium.jpeg
76105,Carex scopulorum,Holm's Rocky Mountain sedge,species,Plantae,"48460,47126,211194,47125,47163,47162,47161,873509,924136,48571,1120852,1460633",https://inaturalist-open-data.s3.amazonaws.com/photos/960524/medium.jpg
80907,Gentiana newberryi tiogana,Tioga Gentian,variety,Plantae,"48460,47126,211194,47125,47124,47363,56235,794441,794442,56348,794338,56349",https://inaturalist-open-data.s3.amazonaws.com/photos/13497036/medium.jpg
51146,Chrysomelidae,Leaf Beetles,family,Insecta,"48460,1,47120,372739,47158,184884,47208,71130,372852,176269",https://inaturalist-open-data.s3.amazonaws.com/photos/28711963/medium.jpg
76748,Dysphania botrys,Jerusalem oak,species,Plantae,"48460,47126,211194,47125,47124,47366,52327,518889,931409,52020",https://inaturalist-open-data.s3.amazonaws.com/photos/310889824/medium.jpg
52673,Equisetum hyemale,rough horsetail,species,Plantae,"48460,47126,211194,121943,764793,47748,47747,47746,1423801",https://inaturalist-open-data.s3.amazonaws.com/photos/39848632/medium.jpeg
49674,Ceanothus,Ceanothus,genus,Plantae,"48460,47126,211194,47125,47124,47132,49041",https://static.inaturalist.org/photos/115875111/medium.jpg
49046,Tamalia coweni,Manzanita Leafgall Aphid,species,Insecta,"48460,1,47120,372739,47158,184884,47744,334037,901813,52380,52381,517626,61136",https://static.inaturalist.org/photos/43788903/medium.jpg
9617,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,species,Aves,"48460,1,2,355675,3,7251,9079,9610",https://inaturalist-open-data.s3.amazonaws.com/photos/2816193/medium.jpg
127997,Cicindela longilabris,Boreal Long-lipped Tiger Beetle,species,Insecta,"48460,1,47120,372739,47158,184884,47208,340471,372884,149026,373661,373919,49568,736941",https://inaturalist-open-data.s3.amazonaws.com/photos/51477031/medium.jpeg
118051,Cryptoporus volvatus,Veiled Polypore,species,Fungi,"48460,47170,47169,492000,50814,47380,47379,118055",https://static.inaturalist.org/photos/70465768/medium.jpg
56349,Gentiana newberryi,Alpine Gentian,species,Plantae,"48460,47126,211194,47125,47124,47363,56235,794441,794442,56348,794338",https://inaturalist-open-data.s3.amazonaws.com/photos/94030968/medium.jpeg
48461,Pinus ponderosa,Western Ponderosa Pine,species,Plantae,"48460,47126,211194,136329,47375,47562,1456301,47561,790732,790770,1569093",https://inaturalist-open-data.s3.amazonaws.com/photos/221555075/medium.jpg
51092,Quercus chrysolepis,canyon live oak,species,Plantae,"48460,47126,211194,47125,47124,47853,47852,47851,861029,861037",https://static.inaturalist.org/photos/2351062/medium.jpg
941891,Halerpestes cymbalaria,Alkali Buttercup,species,Plantae,"48460,47126,211194,47125,47124,48232,48231,746709,746715,878738",https://inaturalist-open-data.s3.amazonaws.com/photos/65832931/medium.jpeg
48327,Lecanorales,"shield lichens, rim lichens, and allies",order,Fungi,"48460,47170,48250,372740,54743,952186",https://inaturalist-open-data.s3.amazonaws.com/photos/113602690/medium.jpg
55552,Ribes roezlii,Sierra Gooseberry,species,Plantae,"48460,47126,211194,47125,47124,71289,47131,47130",https://inaturalist-open-data.s3.amazonaws.com/photos/9289/medium.jpg
47561,Pinus,pines,genus,Plantae,"48460,47126,211194,136329,47375,47562,1456301",https://inaturalist-open-data.s3.amazonaws.com/photos/54643374/medium.jpeg
78847,Rhododendron columbianum,Western Labrador Tea,species,Plantae,"48460,47126,211194,47125,47124,47181,133387,634911,920521,49487,855415,922780,1455701",https://inaturalist-open-data.s3.amazonaws.com/photos/10928816/medium.jpg
69971,Cirsium andersonii,Anderson's thistle,species,Plantae,"48460,47126,211194,47125,47124,47605,47604,201654,632883,632885,48561",https://inaturalist-open-data.s3.amazonaws.com/photos/408699232/medium.jpeg
4665,Falco sparverius,American Kestrel,species,Aves,"48460,1,2,355675,3,67570,4637,4638",https://static.inaturalist.org/photos/174574440/medium.jpg
56969,Lessingia,,genus,Plantae,"48460,47126,211194,47125,47124,47605,47604,632790,461542,972893",https://inaturalist-open-data.s3.amazonaws.com/photos/31116902/medium.jpeg
63962,Calycanthus occidentalis,California sweetshrub,species,Plantae,"48460,47126,211194,47125,47124,48808,49118,63974",https://inaturalist-open-data.s3.amazonaws.com/photos/523756956/medium.jpg
82080,Chalcophora angulicollis,Western Sculptured Pine Borer,species,Insecta,"48460,1,47120,372739,47158,184884,47208,71130,372854,54965,54964,333626,510066,146918",https://inaturalist-open-data.s3.amazonaws.com/photos/146486889/medium.jpg
57689,Bombus vosnesenskii,Yellow-faced Bumble Bee,species,Insecta,"48460,1,47120,372739,47158,184884,47201,124417,326777,47222,630955,47221,199939,538883,52775,538900",https://inaturalist-open-data.s3.amazonaws.com/photos/188924566/medium.jpg
60527,Rhododendron occidentale,western azalea,species,Plantae,"48460,47126,211194,47125,47124,47181,133387,634911,920521,49487,855418,1459454,1459455",https://inaturalist-open-data.s3.amazonaws.com/photos/14523/medium.jpg
7004,Mergus merganser,Common Merganser,species,Aves,"48460,1,2,355675,3,6888,6912,6995",https://inaturalist-open-data.s3.amazonaws.com/photos/251363753/medium.jpg
62781,Camponotus,"Carpenter Ants, Typical Sugar Ants and Allies",genus,Insecta,"48460,1,47120,372739,47158,184884,47201,124417,326777,1269340,47336,244834,334375",https://static.inaturalist.org/photos/52135431/medium.jpeg
145245,Setophaga coronata,Yellow-rumped Warbler,species,Aves,"48460,1,2,355675,3,7251,71349,10246",https://inaturalist-open-data.s3.amazonaws.com/photos/128439522/medium.jpg
63001,Lessingia leptoclada,Sierra lessingia,species,Plantae,"48460,47126,211194,47125,47124,47605,47604,632790,461542,972893,56969",https://inaturalist-open-data.s3.amazonaws.com/photos/158338/medium.jpg
52576,Uroctonus mordax,Western Forest Scorpion,species,Arachnida,"48460,1,47120,245097,47119,48894,1323567,1323568,1323570,1373186,52572,1323560,52577",https://inaturalist-open-data.s3.amazonaws.com/photos/10921532/medium.jpg
76227,Chaenactis alpigena,Sharsmith pincushion,species,Plantae,"48460,47126,211194,47125,47124,47605,47604,632790,632797,50199,1112898",https://inaturalist-open-data.s3.amazonaws.com/photos/10202283/medium.jpeg
48678,Solidago,goldenrods,genus,Plantae,"48460,47126,211194,47125,47124,47605,47604,632790,461542,972606",https://inaturalist-open-data.s3.amazonaws.com/photos/145658304/medium.jpg
59892,Prionus californicus,California Root Borer,species,Insecta,"48460,1,47120,372739,47158,184884,47208,71130,372852,963992,47961,319102,528665,59893,739037",https://inaturalist-open-data.s3.amazonaws.com/photos/25026465/medium.jpg
326683,Asilinae,,subfamily,Insecta,"48460,1,47120,372739,47158,184884,47822,48091,372865,354603,47982",https://inaturalist-open-data.s3.amazonaws.com/photos/33769013/medium.jpeg
72429,Woodsia,cliff ferns,genus,Plantae,"48460,47126,211194,121943,764796,47754,1224540,64663",https://inaturalist-open-data.s3.amazonaws.com/photos/28260445/medium.jpeg
60847,Sedum obtusatum,Sierra Stonecrop,species,Plantae,"48460,47126,211194,47125,47124,71289,51890,889256,1092926,55735,1447323",https://inaturalist-open-data.s3.amazonaws.com/photos/91962598/medium.jpeg
53456,Symphoricarpos mollis,creeping snowberry,species,Plantae,"48460,47126,211194,47125,47124,48526,48527,345605,48528",https://inaturalist-open-data.s3.amazonaws.com/photos/123050688/medium.jpg
47118,Araneae,Spiders,order,Arachnida,"48460,1,47120,245097,47119",https://inaturalist-open-data.s3.amazonaws.com/photos/269162938/medium.jpeg
1264427,Mustela richardsonii,American Ermine,species,Mammalia,"48460,1,2,355675,40151,848317,848320,848324,41573,41770,526558,41801",https://inaturalist-open-data.s3.amazonaws.com/photos/162860275/medium.jpg
184884,Pterygota,Winged and Once-winged Insects,subclass,Insecta,"48460,1,47120,372739,47158",https://inaturalist-open-data.s3.amazonaws.com/photos/14350736/medium.jpg
