id,observed_on,datetime_str,place_guess,latitude,longitude,taxon_id,scientific_name,preferred_common_name,iconic_taxon_name,image_urls,trail_id,location_id
310925237,2025-09-01,2025-09-01T18:32:36-07:00,"Lower Yosemite Fall Trail, Coulterville, CA, US",37.7487758361,-119.5929144045,76447,Cornus nuttallii,Pacific Dogwood,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/561217279/square.jpg,,1
310925216,2025-09-01,2025-09-01T16:36:16-07:00,"Lower Yosemite Fall Trail, Coulterville, CA, US",37.7459616667,-119.5968783333,8234,Cyanocitta stelleri,Steller's Jay,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/561217237/square.jpg,508,1
310925270,2025-09-01,2025-09-01T16:29:46-07:00,"Northside Dr, Coulterville, CA, US",37.7454499713,-119.594328714,47561,Pinus,pines,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/561217365/square.jpg,118,1
310901158,2025-09-01,2025-09-01T16:27:32-07:00,"Cook's Meadow Loop, Coulterville, CA, US",37.7444234491,-119.5933883173,52681,Pteridium aquilinum,common bracken,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/561168118/square.jpg,903,1
310900365,2025-09-01,2025-09-01T16:23:20-07:00,"Cook's Meadow Loop, Coulterville, CA, US",37.7440217045,-119.591681678,58827,Euthamia,grass-leaved goldenrods,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/561217320/square.jpg,46,1
310912066,2025-09-01,2025-09-01T14:27:29-07:00,"The Ahwahnee, Yosemite Valley, CA 95389, USA",37.7462671677,-119.574576728,8234,Cyanocitta stelleri,Steller's Jay,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/561190503/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/561190678/square.jpg,722,1
310912409,2025-09-01,2025-09-01T13:43:35-07:00,"Yosemite National Park, Mariposa County, US-CA, US",37.746279628,-119.5744895563,10325,Euphagus cyanocephalus,Brewer's Blackbird,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/561191069/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/561191272/square.jpg,,1
310918689,2025-09-01,2025-09-01T13:11:31-07:00,"Tuolumne Grove Road, Groveland, CA, US",37.7608966667,-119.8057783333,143799,Sambucus cerulea,blue elder,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/561203555/square.jpg,,1
310827210,2025-09-01,2025-09-01T07:16:49-07:00,"Forest Dr, Yosemite National Park, CA, US",37.5413333333,-119.6473383333,308235,Polystoechotes punctata,,Insecta,https://static.inaturalist.org/photos/561026834/square.jpg,,1
310683828,2025-08-31,2025-08-31T19:02:12-07:00,"Yosemite National Park, Mariposa County, US-CA, US",37.83154173,-119.49516749,79470,Vaccinium cespitosum,dwarf bilberry,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/560755085/square.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/560755116/square.jpg,,1
